year,lgID,tmID,franchID,confID,divID,rank,playoff,seeded,firstRound,semis,finals,name,o_fgm,o_fga,o_ftm,o_fta,o_3pm,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_3pm,d_3pa,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_pts,tmORB,tmDRB,tmTRB,opptmORB,opptmDRB,opptmTRB,won,lost,GP,homeW,homeL,awayW,awayL,confW,confL,min,attend,arena,W,L,awards,diff_fgm,diff_fga,diff_ftm,diff_fta,diff_3pm,diff_3pa,diff_oreb,diff_dreb,diff_reb,diff_asts,diff_pf,diff_stl,diff_to,diff_blk,diff_pts,diff_tmORB,diff_tmDRB,diff_tmTRB,diff_won,diff_homeW,diff_awayW,diff_confW,diff_W,mean_diff_fgm,mean_diff_fga,mean_diff_ftm,mean_diff_fta,mean_diff_3pm,mean_diff_3pa,mean_diff_oreb,mean_diff_dreb,mean_diff_reb,mean_diff_asts,mean_diff_pf,mean_diff_stl,mean_diff_to,mean_diff_blk,mean_diff_pts,mean_diff_tmORB,mean_diff_tmDRB,mean_diff_tmTRB,mean_diff_won,mean_diff_homeW,mean_diff_awayW,mean_diff_confW,mean_diff_W,next_year_playoff
9,WNBA,ATL,ATL,EA,,7,0,0,,,,Atlanta Dream,895,2258,542,725,202,598,340,737,1077,492,796,285,593,142,2534,1014,2254,679,918,172,502,401,864,1265,684,726,310,561,134,2879,0,0,0,0,0,0,4,30,34,1,16,3,14,2,18,6825,141379,Philips Arena,0.0,0.0,0,-119,4,-137,-193,30,96,-61,-127,-188,-192,70,-25,32,8,-345,0,0,0,-26,-15,-11,-16,0.0,-119.0,4.0,-137.0,-193.0,30.0,96.0,-61.0,-127.0,-188.0,-192.0,70.0,-25.0,32.0,8.0,-345.0,0.0,0.0,0.0,-26.0,-15.0,-11.0,-16.0,0.0,1.0
10,WNBA,ATL,ATL,EA,,2,1,0,L,,,Atlanta Dream,1089,2428,569,755,114,374,404,855,1259,547,741,329,590,121,2861,996,2363,624,807,181,530,353,821,1174,615,700,347,601,133,2797,0,0,0,0,0,0,18,16,34,12,5,6,11,10,12,6950,120737,Philips Arena,0.0,2.0,2,93,65,-55,-52,-67,-156,51,34,85,-68,41,-18,-11,-12,64,0,0,0,2,7,-5,-2,-2.0,22.333333333333332,44.666666666666664,-82.33333333333333,-99.0,-34.666666666666664,-72.0,13.666666666666666,-19.666666666666668,-6.0,-109.33333333333333,50.666666666666664,-20.333333333333332,3.3333333333333335,-5.333333333333333,-72.33333333333333,0.0,0.0,0.0,-7.333333333333333,-0.3333333333333333,-7.0,-6.666666666666667,-1.3333333333333333,
1,WNBA,CHA,CHA,EA,,8,0,0,,,,Charlotte Sting,812,1903,431,577,131,386,305,630,935,551,713,222,496,90,2186,879,1930,533,716,138,423,326,664,990,596,596,259,426,123,2429,0,0,0,0,0,0,8,24,32,5,11,3,13,5,16,6475,90963,Charlotte Coliseum,0.0,0.0,0,-67,-27,-102,-139,-7,-37,-21,-34,-55,-45,117,-37,70,-33,-243,0,0,0,-16,-6,-10,-11,0.0,-67.0,-27.0,-102.0,-139.0,-7.0,-37.0,-21.0,-34.0,-55.0,-45.0,117.0,-37.0,70.0,-33.0,-243.0,0.0,0.0,0.0,-16.0,-6.0,-10.0,-11.0,0.0,1.0
2,WNBA,CHA,CHA,EA,,4,1,0,W,W,L,Charlotte Sting,746,1780,410,528,153,428,309,639,948,467,605,217,474,114,2055,732,1846,431,562,114,369,344,567,911,443,579,257,447,124,2009,0,0,0,0,0,0,18,14,32,11,5,7,9,15,6,6500,105525,Charlotte Coliseum,4.0,4.0,0,14,-66,-21,-34,39,59,-35,72,37,24,26,-40,27,-10,46,0,0,0,4,6,-2,9,0.0,-13.0,-53.0,-48.0,-69.0,23.666666666666668,27.0,-30.333333333333332,36.666666666666664,6.333333333333333,1.0,56.333333333333336,-39.0,41.333333333333336,-17.666666666666668,-50.333333333333336,0.0,0.0,0.0,-2.6666666666666665,2.0,-4.666666666666667,2.3333333333333335,0.0,1.0
3,WNBA,CHA,CHA,EA,,2,1,0,L,,,Charlotte Sting,770,1790,490,663,211,527,302,653,955,496,647,241,408,105,2241,778,1807,444,598,133,372,295,620,915,489,600,208,424,103,2133,0,0,0,0,0,0,18,14,32,11,5,7,9,12,9,6450,106670,Charlotte Coliseum,0.0,2.0,0,-8,-17,46,65,78,155,7,33,40,7,47,33,-16,2,108,0,0,0,4,6,-2,3,-2.0,-0.6666666666666666,-33.333333333333336,23.666666666666668,32.0,65.0,123.0,-7.0,46.0,39.0,12.666666666666666,40.0,8.666666666666666,-1.6666666666666667,-2.0,87.33333333333333,0.0,0.0,0.0,4.0,6.0,-2.0,5.0,-1.3333333333333333,1.0
4,WNBA,CHA,CHA,EA,,2,1,0,L,,,Charlotte Sting,787,1881,456,590,187,517,342,629,971,499,697,279,497,115,2217,790,1902,477,667,138,407,386,621,1007,491,606,264,469,104,2195,0,0,0,0,0,0,18,16,34,13,4,5,12,12,12,6850,120061,Charlotte Coliseum,0.0,2.0,0,-3,-21,-21,-77,49,110,-44,8,-36,8,91,15,28,11,22,0,0,0,2,9,-7,0,-2.0,-4.666666666666667,-19.666666666666668,1.3333333333333333,-29.666666666666668,58.666666666666664,125.0,-27.0,16.333333333333332,-10.666666666666666,7.666666666666667,76.33333333333333,21.0,13.333333333333334,8.0,50.666666666666664,0.0,0.0,0.0,2.6666666666666665,8.0,-5.333333333333333,1.0,-2.0,0.0
5,WNBA,CHA,CHA,EA,,5,0,0,,,,Charlotte Sting,745,1744,436,590,166,459,256,616,872,426,648,210,479,134,2092,800,1932,438,587,130,349,368,628,996,516,595,243,437,114,2168,0,0,0,0,0,0,16,18,34,10,7,6,11,8,12,6900,116383,Charlotte Coliseum,0.0,0.0,0,-55,-188,-2,3,36,110,-112,-12,-124,-90,53,-33,42,20,-76,0,0,0,-2,3,-5,-4,0.0,-37.666666666666664,-132.33333333333334,-8.333333333333334,-23.666666666666668,40.333333333333336,110.0,-89.33333333333333,-5.333333333333333,-94.66666666666667,-57.333333333333336,65.66666666666667,-17.0,37.333333333333336,17.0,-43.333333333333336,0.0,0.0,0.0,-0.6666666666666666,5.0,-5.666666666666667,-2.6666666666666665,-0.6666666666666666,0.0
6,WNBA,CHA,CHA,EA,,6,0,0,,,,Charlotte Sting,772,1913,447,624,104,301,316,609,925,493,727,284,535,113,2095,851,1888,509,713,124,339,355,700,1055,496,654,269,534,146,2335,0,0,0,0,0,0,6,28,34,5,12,1,16,4,16,6945,98054,Charlotte Coliseum,0.0,0.0,0,-79,25,-62,-89,-20,-38,-39,-91,-130,-3,73,15,1,-33,-240,0,0,0,-22,-7,-15,-12,0.0,-71.0,-46.0,-42.0,-58.333333333333336,-1.3333333333333333,11.333333333333334,-63.333333333333336,-64.66666666666667,-128.0,-32.0,66.33333333333333,-1.0,14.666666666666666,-15.333333333333334,-185.33333333333334,0.0,0.0,0.0,-15.333333333333334,-3.6666666666666665,-11.666666666666666,-9.333333333333334,0.0,0.0
7,WNBA,CHA,CHA,EA,,6,0,0,,,,Charlotte Sting,864,2178,552,777,176,544,347,747,1094,527,734,315,574,155,2456,911,2149,594,791,155,465,370,870,1240,522,707,286,619,125,2571,0,0,0,0,0,0,11,23,34,7,10,4,13,6,14,6825,106942,Time Warner Cable Arena,0.0,0.0,0,-47,29,-42,-14,21,79,-23,-123,-146,5,27,29,-45,30,-115,0,0,0,-12,-3,-9,-8,0.0,-57.666666666666664,27.666666666666668,-48.666666666666664,-39.0,7.333333333333333,40.0,-28.333333333333332,-112.33333333333333,-140.66666666666666,2.3333333333333335,42.333333333333336,24.333333333333332,-29.666666666666668,9.0,-156.66666666666666,0.0,0.0,0.0,-15.333333333333334,-4.333333333333333,-11.0,-9.333333333333334,0.0,
7,WNBA,CHI,CHI,EA,,7,0,0,,,,Chicago Sky,858,2175,449,643,157,536,357,680,1037,509,674,277,527,125,2322,971,2147,545,736,200,536,379,860,1239,623,584,262,535,120,2687,0,0,0,0,0,0,5,29,34,3,14,2,15,4,16,6800,57635,UIC Pavilion,0.0,0.0,0,-113,28,-96,-93,-43,0,-22,-180,-202,-114,90,15,-8,5,-365,0,0,0,-24,-11,-13,-12,0.0,-113.0,28.0,-96.0,-93.0,-43.0,0.0,-22.0,-180.0,-202.0,-114.0,90.0,15.0,-8.0,5.0,-365.0,0.0,0.0,0.0,-24.0,-11.0,-13.0,-12.0,0.0,0.0
