year,lgID,tmID,franchID,confID,divID,rank,playoff,seeded,firstRound,semis,finals,name,o_fgm,o_fga,o_ftm,o_fta,o_3pm,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_3pm,d_3pa,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_pts,tmORB,tmDRB,tmTRB,opptmORB,opptmDRB,opptmTRB,won,lost,GP,homeW,homeL,awayW,awayL,confW,confL,min,attend,arena,W,L,next_year_playoff
9,WNBA,ATL,ATL,EA,,7,0,0,,,,Atlanta Dream,895,2258,542,725,202,598,340,737,1077,492,796,285,593,142,2534,1014,2254,679,918,172,502,401,864,1265,684,726,310,561,134,2879,0,0,0,0,0,0,4,30,34,1,16,3,14,2,18,6825,141379,Philips Arena,0.0,0.0,1.0
9,WNBA,CHI,CHI,EA,,5,0,0,,,,Chicago Sky,899,2100,564,812,110,341,357,770,1127,548,639,269,525,149,2472,917,2203,506,655,170,508,366,794,1160,531,681,255,522,124,2510,0,0,0,0,0,0,12,22,34,8,9,4,13,10,10,6875,62146,UIC Pavilion,0.0,0.0,0.0
9,WNBA,CON,CON,EA,,2,1,0,L,,,Connecticut Sun,965,2286,539,723,221,669,370,869,1239,607,629,211,487,97,2690,955,2284,472,638,159,496,360,840,1200,554,703,252,499,104,2541,0,0,0,0,0,0,21,13,34,13,4,8,9,13,7,6850,129951,Mohegan Sun Arena,1.0,2.0,0.0
9,WNBA,DET,DET,EA,,1,1,0,W,W,W,Detroit Shock,974,2295,556,744,168,476,405,843,1248,604,724,278,496,118,2672,872,2151,563,740,215,616,324,761,1085,520,762,229,572,119,2522,0,0,0,0,0,0,22,12,34,14,3,8,9,16,4,6875,162669,The Palace of Auburn Hills,7.0,2.0,1.0
9,WNBA,IND,IND,EA,,4,1,0,L,,,Indiana Fever,876,2179,495,656,226,662,349,778,1127,500,727,324,585,165,2473,891,2127,540,706,135,415,338,833,1171,477,659,294,608,130,2457,0,0,0,0,0,0,17,17,34,11,6,6,11,12,8,6950,130941,Conseco Fieldhouse,1.0,2.0,1.0
9,WNBA,LAS,LAS,WE,,3,1,0,W,L,,Los Angeles Sparks,954,2248,539,717,151,485,386,896,1282,613,713,251,608,216,2598,888,2310,562,751,185,547,359,768,1127,513,717,303,523,141,2523,0,0,0,0,0,0,20,14,34,12,5,8,9,12,8,7000,161639,Staples Center,3.0,3.0,1.0
9,WNBA,MIN,MIN,WE,,7,0,0,,,,Minnesota Lynx,991,2303,652,864,133,413,353,792,1145,557,751,309,472,131,2767,974,2220,612,809,161,486,350,862,1212,587,748,248,579,140,2721,0,0,0,0,0,0,16,18,34,9,8,7,10,8,12,6900,118463,Target Center,0.0,0.0,0.0
9,WNBA,NYL,NYL,EA,,3,1,0,W,L,,New York Liberty,912,2168,490,653,259,706,327,778,1105,551,655,290,547,117,2573,924,2163,516,674,174,485,352,823,1175,496,625,285,559,109,2538,0,0,0,0,0,0,19,15,34,11,6,8,9,11,9,6900,153772,Madison Square Garden (IV),3.0,3.0,0.0
9,WNBA,PHO,PHO,WE,,6,0,0,,,,Phoenix Mercury,1069,2485,642,773,230,701,375,851,1226,560,794,232,489,156,3010,1036,2460,694,932,243,695,440,858,1298,650,717,234,500,129,3009,0,0,0,0,0,0,16,18,34,10,7,6,11,8,12,6825,144867,US Airways Center,0.0,0.0,1.0
9,WNBA,SAC,SAC,WE,,4,1,0,L,,,Sacramento Monarchs,883,2159,611,816,168,438,388,721,1109,473,690,319,586,77,2545,958,2128,469,622,186,542,308,767,1075,581,759,267,624,206,2571,0,0,0,0,0,0,18,16,34,13,4,5,12,9,11,6800,139066,ARCO Arena (II),1.0,2.0,0.0
9,WNBA,SAS,SAS,WE,,1,1,0,W,W,L,San Antonio Silver Stars,901,2080,561,694,183,539,246,847,1093,601,602,272,525,150,2546,904,2271,471,634,139,483,389,817,1206,500,666,278,528,109,2418,0,0,0,0,0,0,24,10,34,15,2,9,8,10,10,6850,135722,AT&T Center,4.0,5.0,1.0
9,WNBA,SEA,SEA,WE,,2,1,0,L,,,Seattle Storm,899,2112,552,728,143,453,340,822,1162,530,684,269,526,140,2493,861,2164,512,680,172,539,332,760,1092,498,674,263,515,115,2406,0,0,0,0,0,0,22,12,34,16,1,6,11,13,7,6800,140503,KeyArena at Seattle Center,1.0,2.0,1.0
9,WNBA,WAS,WAS,EA,,6,0,0,,,,Washington Mystics,885,2131,435,659,163,460,362,770,1132,483,757,241,637,93,2368,929,2096,563,760,180,528,306,787,1093,542,708,314,530,146,2601,0,0,0,0,0,0,10,24,34,6,11,4,13,6,14,6825,154637,Verizon Center,0.0,0.0,1.0
