year,tmID,confID,rank,playoff,firstRound,semis,finals,o_oreb,o_dreb,d_oreb,d_dreb,lost,GP,min,arena,powerRanking,offensiveFieldGoalPercentage,offensiveFreeThrowPercentage,offensiveThreePointPercentage,offensiveReboundsPerGame,offensiveAssistsPerGame,offensivePersonalFoulsPerGame,offensiveStealsPerGame,offensiveTurnoversPerGame,offensiveBlocksPerGame,offensivePointsPerGame,defensiveFieldGoalPercentage,defensiveFreeThrowPercentage,defensiveThreePointPercentage,defensiveReboundsPerGame,defensiveAssistsPerGame,defensivePersonalFoulsPerGame,defensiveStealsPerGame,defensiveTurnoversPerGame,defensiveBlocksPerGame,defensivePointsPerGame,winPercentage,homeWinPercentage,awayWinPercentage,conferenceWinPercentage,attendance
9,0,0,7,0,-1,-1,-1,340,737,401,864,30,34,6825,11,47.08041308854722,0.0,51.33506892937555,36.626847672400345,0.0,13.571428571428562,100.0,65.48672566371683,73.33333333333336,46.762589928057565,25.85669781931467,99.51185191281441,0.0,62.26887860731829,85.20179372197302,100.0,73.72262773722626,95.29411764705884,49.60000000000003,29.411764705882366,78.44112769485902,11.76470588235294,0.0,0.0,0.0,78.82076738656825
10,0,0,2,1,0,-1,-1,404,855,353,821,16,34,6950,11,57.45894271675887,80.56009684237202,34.03020182323734,8.097396780585782,100.0,54.6511627906977,86.3387978142076,71.79487179487177,88.96103896103895,28.571428571428566,54.19254658385091,36.300203428744496,34.75332671416806,35.692034949980965,56.80933852140079,91.7241379310345,58.510638297872376,100.0,79.21348314606739,50.0,57.83783783783786,52.94117647058824,71.42857142857146,28.571428571428587,32.69230769230769,42.80154096667858
1,1,0,8,0,-1,-1,-1,305,630,326,664,24,32,6475,4,46.42529593096572,58.62838175591689,48.83309170342506,67.72582357421292,47.651006711409394,82.14285714285714,76.81159420289855,6.779661016949152,40.853658536585364,28.723404255319153,55.742725880551305,92.81996967336632,60.90118482067122,50.4927807872135,81.25,100.0,0.7462686567164178,43.90243902439025,0.0,65.75342465753424,100.0,25.0,9.090909090909092,9.090909090909092,7.692307692307689,0.0
2,1,0,4,1,1,1,0,309,639,344,567,14,32,6500,4,41.97296974521201,56.940444906124796,83.95499352783033,73.57117326490211,26.635514018691588,29.891304347826086,51.61290322580645,12.711864406779661,42.57425742574257,42.10526315789473,25.769230769230766,19.7484724673752,66.1882964068418,19.368246051537852,9.30232558139535,31.07344632768362,22.65193370165746,45.33333333333333,36.53846153846153,66.66666666666666,45.94594594594595,56.25,54.54545454545454,50.0,73.33333333333333,6.6113786797846865
3,1,0,2,1,0,-1,-1,302,653,295,620,14,32,6450,4,44.58579070760762,67.55771423432455,62.727301258513045,100.0,31.386861313868614,44.230769230769226,86.53846153846155,42.5531914893617,0.0,23.157894736842106,53.00668151447662,69.8316072416792,54.03009310737781,58.55580688383354,0.6211180124223602,64.75409836065575,22.981366459627328,0.0,0.0,41.02564102564102,53.31858407079646,56.25,70.0,50.0,54.54545454545454,7.572122666085081
4,1,0,2,1,0,-1,-1,342,629,386,621,16,34,6850,4,40.208152693469096,53.209992500983475,79.23098476526687,72.4334080840125,5.128205128205108,44.65408805031445,86.9747899159664,74.79674796747966,36.206896551724114,35.80246913580247,26.315789473684166,34.74328446386977,0.0,55.05414112898372,10.937499999999991,25.925925925925924,19.61722488038279,47.67441860465117,24.193548387096786,19.512195121951205,14.887640449438235,52.94117647058824,90.90909090909093,27.272727272727277,53.84615384615385,12.935418302428142
5,1,0,5,0,-1,-1,-1,256,616,368,628,18,34,6900,4,32.52353445025257,77.63871142055518,49.25105523549369,77.60935415878197,0.0,0.0,48.18652849740931,0.9523809523809493,29.100529100529084,73.07692307692311,0.0,46.13436259358796,55.285602503589516,90.62723062065726,19.708029197080258,50.42016806722689,4.316546762589915,15.887850467289718,4.294478527607383,5.88235294117648,0.0,47.05882352941176,44.44444444444445,42.857142857142854,27.999999999999996,2.3558463024364986
6,1,0,6,0,-1,-1,-1,316,609,355,700,28,34,6945,4,44.86931499373707,6.057415852267319,36.42488608952028,77.06674720628199,0.0,42.85714285714288,81.11111111111111,63.12056737588653,75.34246575342466,35.92233009708738,0.0,100.0,0.0,100.0,80.34188034188035,45.86466165413531,41.55844155844155,83.72093023255813,58.29383886255924,89.33333333333333,77.07006369426745,17.647058823529413,0.0,0.0,10.000000000000004,0.0
7,1,0,6,0,-1,-1,-1,347,747,370,870,23,34,6825,17,51.58290154327203,3.2740276558583394,11.121378678388878,41.30688878772592,27.54716981132079,31.51515151515151,80.31496062992129,75.77639751552796,98.50746268656717,100.0,21.003134796238225,55.902199146653,69.99716068980639,46.752549651100296,83.7121212121212,31.78807947019868,82.55033557046978,71.42857142857146,92.82051282051285,66.66666666666666,45.29307282415633,32.35294117647059,33.33333333333333,20.0,18.181818181818183,48.42660433322202
7,2,0,7,0,-1,-1,-1,357,680,379,860,29,34,6800,19,36.65392541318779,0.0,0.0,0.0,6.037735849056586,20.606060606060602,56.692913385826785,52.17391304347825,63.43283582089552,58.33333333333333,0.0,100.0,49.048913043478386,100.0,83.3333333333333,98.67549668874173,0.0,40.259740259740276,49.74358974358973,57.4074074074074,65.89698046181174,14.705882352941178,0.0,0.0,0.0,0.0
